PB Part Number,Manufacturers Code,Product Name,Bulk Stock,Your Price,Category,Brand
ADPAOC0001,AOC-PE-1P,Megapower AOC-PE-1P PCI Express Single Parallel Port Card. Supplied with Low Profile & Standard Height  Brackets,1,42,Adapters,Megapower
ADPASU0001,90mc02c1-m0eay0,Asus Thunderbolt EX II Dual Expansion Card With Dual Display Port Support 4K,1,309,IO/SCSI/IDE/Card,ASUS
ADPATN0100,VB100,ATEN VanCryst VB100 VGA Booster (70m). VGA gain control.,3,59,Adapters,Aten
ADPATN0141,SA0141,Aten SA0141 RJ45 (F) to DB9 (F) DTE BLACK Connector,1,18,Adapters,Aten
ADPATN4852,UC4852,ATEN UC4852 2-Port USB-to-Serial RS422 485 Hub,1,76,Adapters,Aten
ADPATN4854,UC4854,ATEN UC4854 4-Port USB-to-Serial RS422/485 Hub,1,71.2,Adapters,Aten
ADPATNEA1240,EA1240,Aten EA1240 Temperature & Humidity combo Sensors,3,29.5,Adapters,Aten
ADPATNUC-1284,UC1284B,ATEN UC1284B USB to IEEE-1284 Bi-directional Parallel Printer Cable LINUX compatible,5,18,Adapters,Aten
ADPATNUC-232A,UC232A,ATEN UC232A USB to RS232 Serial (RS-232) DB9 Convertor DB-9 Male 35cm works for PC Linux Mac android based smartphones PDAs  digital cameras modems Thermal printers &more.,30,19,Adapters,Aten
ADPCYP1011,HDMI12MP,CYP HDMI 1 in 2 out Splitter        HDMI  HDCP 1.1 and DVI 1.0 compliant.,2,143.83,Adapters,CYP
ADPCYP1024,VC-DVID-VGA,CYP DVI-D to VGA / Component        Active Converter. Max res 1920x1200,3,105.6,Adapters,CYP
ADPCYP1063,DCT-2,CYP DCT-2  Coaxial/Toslink Audio Converter,1,37.7,Adapters,CYP
ADPDIG7014,AK-320500-000-S,Digitus DVI adapter  DVI(18+1)/M - HDMI type A/F,4,5,Adapters,Digitus
